iter	Passed	Remaining
896	1651	189
897	1653	187
898	1656	186
899	1657	184
900	1659	182
901	1662	180
902	1664	178
903	1667	177
904	1668	175
905	1670	173
906	1672	171
907	1674	169
908	1675	167
909	1678	166
910	1680	164
911	1682	162
912	1687	160
913	1688	158
914	1690	157
915	1692	155
916	1694	153
917	1696	151
918	1698	149
919	1700	147
920	1702	146
921	1704	144
922	1705	142
923	1707	140
924	1709	138
925	1710	136
926	1712	134
927	1713	132
928	1715	131
929	1717	129
930	1719	127
931	1721	125
932	1723	123
933	1725	121
934	1727	120
935	1728	118
936	1729	116
937	1732	114
938	1734	112
939	1736	110
940	1738	108
941	1740	107
942	1742	105
943	1743	103
944	1745	101
945	1747	99
946	1749	97
947	1751	96
948	1753	94
949	1756	92
950	1757	90
951	1759	88
952	1763	86
953	1764	85
954	1766	83
955	1768	81
956	1770	79
957	1772	77
958	1774	75
959	1776	74
960	1778	72
961	1779	70
962	1781	68
963	1783	66
964	1784	64
965	1786	62
966	1788	61
967	1790	59
968	1792	57
969	1794	55
970	1796	53
971	1799	51
972	1801	49
973	1802	48
974	1804	46
975	1806	44
976	1808	42
977	1809	40
978	1811	38
979	1813	37
980	1814	35
981	1816	33
982	1817	31
983	1819	29
984	1822	27
985	1824	25
986	1825	24
987	1828	22
988	1829	20
989	1831	18
990	1832	16
991	1834	14
992	1836	12
993	1838	11
994	1840	9
995	1842	7
996	1844	5
997	1846	3
998	1847	1
999	1849	0
